"Study","UniProt","Gene.Name","Description","SomaID","SomaScan.SeqID","OlinkID_Previous.study","Correlation_Previous.study","N_Previous.study","P.value_Previous.study","Adj.p.value_Previous.study","Cor.interval_Previous.study","Cor.method_Previous.study","OlinkID_Sissala","Correlation_Sissala","N_Sissala","P.value_Sissala","Adj.p.value_Sissala","Cor.interval_Sissala","Cor.method_Sissala"
"Pietzner et al.","Q15113","PCOLCE","Procollagen C-endopeptidase enhancer 1",NA,"SeqId_11237_49","OID01289",0.730241602546806,485,NA,NA,"Strong correlation","Spearman","OID20384",0.752562431756543,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","Q9Y240","CLEC11A","C-type lectin domain family 11 member A",NA,"SeqId_2966_65","OID01416",0.729708520527277,485,NA,NA,"Strong correlation","Spearman","OID21112",0.141172119564432,88,0.189534392791792,0.227642903682908,"No correlation","Spearman"
"Pietzner et al.","Q16674","MIA","Melanoma-derived growth regulatory protein",NA,"SeqId_2687_2","OID00701",0.729393482759176,485,NA,NA,"Strong correlation","Spearman","OID21531",0.191697191697192,27,0.336569048017768,0.382665110988983,"No correlation","Spearman"
"Pietzner et al.","Q9Y5C1","ANGPTL3","Angiopoietin-related protein 3",NA,"SeqId_10391_1","OID01306",0.72552504204882,485,NA,NA,"Strong correlation","Spearman","OID20407",0.795921242647318,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P33151","CDH5","Cadherin-5",NA,"SeqId_2819_23","OID00587",0.72532313800381,485,NA,NA,"Strong correlation","Spearman","OID20243",0.702711270423412,88,2.33058604381026e-14,6.46494261292821e-14,"Strong correlation","Spearman"
"Pietzner et al.","P35247","SFTPD","Pulmonary surfactant-associated protein D",NA,"SeqId_19590_46","OID00608",0.724714062979151,485,NA,NA,"Strong correlation","Spearman","OID20214",0.579461801275052,88,5.70619261565151e-09,1.3393537345261e-08,"Moderate correlation","Spearman"
"Pietzner et al.","P35443","THBS4","Thrombospondin-4",NA,"SeqId_3340_53","OID01268",0.7241332167066,485,NA,NA,"Strong correlation","Spearman","OID20368",0.607674967419253,88,0,0,"Moderate correlation","Spearman"
"Pietzner et al.","Q96B86","RGMA","Repulsive guidance molecule A",NA,"SeqId_5483_1","OID00305",0.723891881941865,485,NA,NA,"Strong correlation","Spearman","OID21065",0.68542848085661,88,0,0,"Moderate correlation","Spearman"
"Pietzner et al.","Q03403","TFF2","Trefoil factor 2",NA,"SeqId_9191_8","OID01130",0.719598309419169,485,NA,NA,"Strong correlation","Spearman","OID20787",0.823444036540596,52,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P21980","TGM2","Protein-glutamine gamma-glutamyltransferase 2",NA,"SeqId_18934_50","OID00462",0.719340363843133,485,NA,NA,"Strong correlation","Spearman","OID20141",0.743075871496924,76,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P17931","LGALS3","Galectin-3",NA,"SeqId_3066_12","OID00578",0.717207174436136,485,NA,NA,"Strong correlation","Spearman","OID20284",0.391285970906273,88,0.000183552520776192,0.000303412585587586,"Weak correlation","Spearman"
"Pietzner et al.","O14773","TPP1","Tripeptidyl-peptidase 1",NA,"SeqId_17691_1","OID01490",0.712716053395372,485,NA,NA,"Strong correlation","Spearman","OID20750",0.504142173615858,76,4.7149256535634e-06,8.74080634297714e-06,"Moderate correlation","Spearman"
"Pietzner et al.","P52823","STC1","Stanniocalcin-1",NA,"SeqId_4930_21","OID00999",0.711474392118109,485,NA,NA,"Strong correlation","Spearman","OID21014",0.631712473572939,44,7.11032241329173e-06,1.29685848216581e-05,"Moderate correlation","Spearman"
"Pietzner et al.","P41236","PPP1R2","Protein phosphatase inhibitor 2",NA,"SeqId_19152_4","OID01177",0.707377008657858,485,NA,NA,"Strong correlation","Spearman","OID20176",0.259803921568627,17,0.312678606386675,0.357663775694586,"No correlation","Spearman"
"Pietzner et al.","P16109","SELP","P-selectin",NA,"SeqId_4154_57","OID00574",0.705473170072395,485,NA,NA,"Strong correlation","Spearman","OID20379",0.830381240459426,88,1.47441470103759e-23,4.53573350809657e-23,"Strong correlation","Spearman"
"Pietzner et al.","P25445","FAS","Tumor necrosis factor receptor superfamily member 6",NA,"SeqId_9459_7","OID00615",0.703760834325052,485,NA,NA,"Strong correlation","Spearman","OID20316",0.431601216610884,80,6.40884993312597e-05,0.000109796533755679,"Weak correlation","Spearman"
"Pietzner et al.","Q15389","ANGPT1","Angiopoietin-1",NA,"SeqId_2811_27","OID00380",0.702557931248282,485,NA,NA,"Strong correlation","Spearman","OID20740",0.963636363636364,10,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P35590","TIE1","Tyrosine-protein kinase receptor Tie-1",NA,"SeqId_2844_53","OID01270",0.701845041544531,485,NA,NA,"Strong correlation","Spearman","OID20303",0.523293135563592,88,1.68632861749744e-07,3.51915898180151e-07,"Moderate correlation","Spearman"
"Pietzner et al.","Q9H2A7","CXCL16","C-X-C motif chemokine 16",NA,"SeqId_2436_49","OID00601",0.70115631013684,485,NA,NA,"Strong correlation","Spearman","OID20282",0.638163265306122,49,1.55954661080924e-06,3.02011685009199e-06,"Moderate correlation","Spearman"
"Pietzner et al.","Q86VZ4","LRP11","Low-density lipoprotein receptor-related protein 11",NA,"SeqId_15472_16","OID01179",0.700391707491578,485,NA,NA,"Strong correlation","Spearman","OID20185",0.328003201950212,54,0.0154640359858415,0.0211879813446785,"Weak correlation","Spearman"
"Pietzner et al.","P01133","EGF","Pro-epidermal growth factor",NA,"SeqId_5509_7","OID00662",0.700206414373669,485,NA,NA,"Strong correlation","Spearman","OID20698",-0.151515151515151,10,0.681807643477163,0.722780121582833,"No correlation","Spearman"
"Pietzner et al.","Q8TEU8","WFIKKN2","WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2",NA,"SeqId_3235_50","OID01440",0.694101651977969,485,NA,NA,"Moderate correlation","Spearman","OID20785",0.500205058099795,76,5.70764565749019e-06,1.04950031715088e-05,"Moderate correlation","Spearman"
"Pietzner et al.","Q8N423","LILRB2","Leukocyte immunoglobulin-like receptor subfamily B member 2",NA,"SeqId_5091_28","OID01296",0.693343046208687,485,NA,NA,"Moderate correlation","Spearman","OID20301",0.763296850998464,63,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P11717","IGF2R","Cation-independent mannose-6-phosphate receptor",NA,"SeqId_16057_6","OID01431",0.689174597472853,485,NA,NA,"Moderate correlation","Spearman","OID21146",0.583459547039555,88,4.00310202345248e-09,9.57521649253781e-09,"Moderate correlation","Spearman"
"Pietzner et al.","P35968","KDR","Vascular endothelial growth factor receptor 2",NA,"SeqId_3651_50","OID00677",0.688967693068106,485,NA,NA,"Moderate correlation","Spearman","OID21497",0.531471240886196,88,1.60732338127965e-07,3.3667311641275e-07,"Moderate correlation","Spearman"
"Pietzner et al.","Q9Y286","SIGLEC7","Sialic acid-binding Ig-like lectin 7",NA,"SeqId_2742_68","OID01160",0.687795230948674,485,NA,NA,"Moderate correlation","Spearman","OID20190",0.545454545454545,21,0.0116977521344909,0.0162644854185224,"Moderate correlation","Spearman"
"Pietzner et al.","Q99538","LGMN","Legumain",NA,"SeqId_3622_33","OID01460",0.68656924670532,485,NA,NA,"Moderate correlation","Spearman","OID20773",0.538463740755717,68,2.17556807058724e-06,4.17723869335543e-06,"Moderate correlation","Spearman"
"Pietzner et al.","P01732","CD8A","T-cell surface glycoprotein CD8 alpha chain",NA,"SeqId_15462_28","OID05124",0.681822584091281,485,NA,NA,"Moderate correlation","Spearman","OID21018",0.651948051948052,21,0.00176690886614429,0.00268123670682379,"Moderate correlation","Spearman"
"Pietzner et al.","P31948","STIP1","Stress-induced-phosphoprotein 1",NA,"SeqId_5489_18","OID01465",0.681374544330974,485,NA,NA,"Moderate correlation","Spearman","OID21077",0.890141241942869,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P03951","F11","Coagulation factor XI",NA,"SeqId_2190_55","OID01227",0.681275127952211,485,NA,NA,"Moderate correlation","Spearman","OID30773",0.643771986604046,88,1.32883790004782e-11,3.56355816901185e-11,"Moderate correlation","Spearman"
"Pietzner et al.","P52564","MAP2K6","Dual specificity mitogen-activated protein kinase kinase 6",NA,"SeqId_17175_5","OID01345",0.679850105693633,485,NA,NA,"Moderate correlation","Spearman","OID20552",0.0424242424242424,10,0.918633282432669,0.931839151721908,"No correlation","Spearman"
"Pietzner et al.","O95727","CRTAM","Cytotoxic and regulatory T-cell molecule",NA,"SeqId_7968_15","OID00304",0.677891908113315,485,NA,NA,"Moderate correlation","Spearman","OID20914",0.697536945812808,29,4.17310638208643e-05,7.28197388775205e-05,"Moderate correlation","Spearman"
"Pietzner et al.","P16444","DPEP1","Dipeptidase 1",NA,"SeqId_8794_13","OID05209",0.672923537015211,485,NA,NA,"Moderate correlation","Spearman","OID20897",0.736698344065258,78,1.4962498725721e-14,4.17102742255284e-14,"Strong correlation","Spearman"
"Pietzner et al.","Q9UM47","NOTCH3","Neurogenic locus notch homolog protein 3",NA,"SeqId_5108_72","OID00584",0.672680466861862,485,NA,NA,"Moderate correlation","Spearman","OID20253",0.606723961818886,88,0,0,"Moderate correlation","Spearman"
"Pietzner et al.","Q12860","CNTN1","Contactin-1",NA,"SeqId_2974_61","OID00586",0.672647158270735,485,NA,NA,"Moderate correlation","Spearman","OID20307",0.851814183262559,88,7.12213337470619e-26,2.21512082094856e-25,"Strong correlation","Spearman"
"Pietzner et al.","P13591","NCAM1","Neural cell adhesion molecule 1",NA,"SeqId_4498_62","OID01247",0.672145648554372,485,NA,NA,"Moderate correlation","Spearman","OID20354",0.553027367827833,88,4.04664525811798e-08,8.95816175767686e-08,"Moderate correlation","Spearman"
"Pietzner et al.","Q8N1Q1","CA13","Carbonic anhydrase 13",NA,"SeqId_3420_21","OID01146",0.67212792298703,485,NA,NA,"Moderate correlation","Spearman","OID20225",0.577365532245424,76,4.7624339746184e-08,1.03999767066618e-07,"Moderate correlation","Spearman"
"Pietzner et al.","P63098","PPP3R1","Calcineurin subunit B type 1",NA,"SeqId_15545_13","OID05214",0.671854457503757,485,NA,NA,"Moderate correlation","Spearman","OID20902",0.658949745906268,22,0.00113255060161349,0.00174678911095852,"Moderate correlation","Spearman"
"Pietzner et al.","P02452","COL1A1","Collagen alpha-1(I) chain",NA,"SeqId_11140_56","OID00641",0.67168733699614,485,NA,NA,"Moderate correlation","Spearman","OID20335",0.82172167236096,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","Q9HCB6","SPON1","Spondin-1",NA,"SeqId_4297_62","OID00599",0.6709761914285,485,NA,NA,"Moderate correlation","Spearman","OID20759",0.613454146804873,88,2.09407107075109e-10,5.4474798130829e-10,"Moderate correlation","Spearman"
"Pietzner et al.","Q96GP6","SCARF2","Scavenger receptor class F member 2",NA,"SeqId_8956_96","OID00342",0.668529784193453,485,NA,NA,"Moderate correlation","Spearman","OID21048",0.498989898989899,54,0.000150220397563947,0.000251257524221771,"Weak correlation","Spearman"
"Pietzner et al.","Q07654","TFF3","Trefoil factor 3",NA,"SeqId_8323_163","OID00573",0.66819708916969,485,NA,NA,"Moderate correlation","Spearman","OID20371",0.6866436546793,88,0,0,"Moderate correlation","Spearman"
"Pietzner et al.","Q16651","PRSS8","Prostasin",NA,"SeqId_15513_108","OID00447",0.667571880195296,485,NA,NA,"Moderate correlation","Spearman","OID20763",0.674165457184325,53,9.75278052415381e-08,2.10533254527144e-07,"Moderate correlation","Spearman"
"Pietzner et al.","Q15126","PMVK","Phosphomevalonate kinase",NA,"SeqId_12450_42","OID05218",0.666909786551855,485,NA,NA,"Moderate correlation","Spearman","OID20850",0.632699083861875,44,6.83036963443694e-06,1.2478134817604e-05,"Moderate correlation","Spearman"
"Pietzner et al.","O14786","NRP1","Neuropilin-1",NA,"SeqId_5542_22","OID01217",0.666883683026599,485,NA,NA,"Moderate correlation","Spearman","OID20390",0.776141877226009,88,6.55630766004925e-19,1.96341415071501e-18,"Strong correlation","Spearman"
"Pietzner et al.","P20333","TNFRSF1B","Tumor necrosis factor receptor superfamily member 1B",NA,"SeqId_3152_57","OID00567",0.665341795239136,485,NA,NA,"Moderate correlation","Spearman","OID21145",0.916666666666667,9,0.00131172839506173,0.00201488620139414,"Strong correlation","Spearman"
"Pietzner et al.","P24387","CRHBP","Corticotropin-releasing factor-binding protein",NA,"SeqId_6039_24","OID01468",0.664021412516282,485,NA,NA,"Moderate correlation","Spearman","OID20747",0.697363149258059,88,4.4142165641547e-14,1.21256703185661e-13,"Moderate correlation","Spearman"
"Pietzner et al.","Q9HCK4","ROBO2","Roundabout homolog 2",NA,"SeqId_5116_62","OID00303",0.662972690335322,485,NA,NA,"Moderate correlation","Spearman","OID21007",0.645470383275261,41,8.77907114881852e-06,1.58331810335721e-05,"Moderate correlation","Spearman"
"Pietzner et al.","P08709","F7","Coagulation factor VII",NA,"SeqId_3184_25","OID01239",0.662520725585624,485,NA,NA,"Moderate correlation","Spearman","OID20372",0.726445000176112,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P09467","FBP1","Fructose-1,6-bisphosphatase 1",NA,"SeqId_7206_20","OID01195",0.655363573008203,485,NA,NA,"Moderate correlation","Spearman","OID20227",0.51387763727942,88,4.59300898106649e-07,9.29302354771338e-07,"Moderate correlation","Spearman"
"Pietzner et al.","P10721","KIT","Mast/stem cell growth factor receptor Kit",NA,"SeqId_2475_1","OID01241",0.653473467726679,485,NA,NA,"Moderate correlation","Spearman","OID20370",0.832781515268924,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P55103","INHBC","Inhibin beta C chain",NA,"SeqId_15686_49","OID01414",0.649140836729987,485,NA,NA,"Moderate correlation","Spearman","OID21093",0.468557238906125,88,4.14498418672948e-06,7.74782640201587e-06,"Weak correlation","Spearman"
"Pietzner et al.","Q99969","RARRES2","Retinoic acid receptor responder protein 2",NA,"SeqId_3079_62","OID00645",0.647282882122154,485,NA,NA,"Moderate correlation","Spearman","OID20373",0.43300693881864,88,3.0213944262416e-05,5.3050611309903e-05,"Weak correlation","Spearman"
"Pietzner et al.","P12104","FABP2","Fatty acid-binding protein, intestinal",NA,"SeqId_15385_116","OID00451",0.646730321391205,485,NA,NA,"Moderate correlation","Spearman","OID20200",0.708108108108108,36,3.06677945119511e-06,5.819149580503e-06,"Strong correlation","Spearman"
"Pietzner et al.","O95633","FSTL3","Follistatin-related protein 3",NA,"SeqId_3438_10","OID01471",0.646177536470555,485,NA,NA,"Moderate correlation","Spearman","OID20782",0.384072580645161,63,0.00202257817467991,0.00303252424862366,"Weak correlation","Spearman"
"Pietzner et al.","P19320","VCAM1","Vascular cell adhesion protein 1",NA,"SeqId_2967_8","OID01257",0.644986727367405,485,NA,NA,"Moderate correlation","Spearman","OID20396",0.817583036877884,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P48357","LEPR","Leptin receptor",NA,"SeqId_5400_52","OID05160",0.64320603170239,485,NA,NA,"Moderate correlation","Spearman","OID20128",0.683720193018915,88,0,0,"Moderate correlation","Spearman"
"Pietzner et al.","O14594","NCAN","Neurocan core protein",NA,"SeqId_15573_110","OID00301",0.642186608466557,485,NA,NA,"Moderate correlation","Spearman","OID21055",0.220025193724472,68,0.0715227329686396,0.0915523418612179,"No correlation","Spearman"
"Pietzner et al.","P17936","IGFBP3","Insulin-like growth factor-binding protein 3",NA,"SeqId_2571_12","OID01255",0.641755011507877,485,NA,NA,"Moderate correlation","Spearman","OID20398",0.715332323623684,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","O75594","PGLYRP1","Peptidoglycan recognition protein 1",NA,"SeqId_3329_14","OID00623",0.641563895522914,485,NA,NA,"Moderate correlation","Spearman","OID20338",0.746891620583988,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P09341","CXCL1","Growth-regulated alpha protein",NA,"SeqId_2985_35","OID00404",0.638495402688284,485,NA,NA,"Moderate correlation","Spearman","OID20762",0.119480519480519,21,0.604778756770743,0.650281158470637,"No correlation","Spearman"
"Pietzner et al.","P35442","THBS2","Thrombospondin-2",NA,"SeqId_3339_33","OID00427",0.63519063318684,485,NA,NA,"Moderate correlation","Spearman","OID21104",0.389249556413736,66,0.00133841116118995,0.0020502933527591,"Weak correlation","Spearman"
"Pietzner et al.","P09237","MMP7","Matrilysin",NA,"SeqId_2789_26","OID00441",0.625996400535607,485,NA,NA,"Moderate correlation","Spearman","OID20087",0.707509881422925,22,0.000337407039963649,0.000544967879998512,"Strong correlation","Spearman"
"Pietzner et al.","Q9UHL4","DPP7","Dipeptidyl peptidase 2",NA,"SeqId_8346_9","OID01178",0.620025587017356,485,NA,NA,"Moderate correlation","Spearman","OID20142",0.746348958959714,88,7.08687810250084e-17,2.03589958720699e-16,"Strong correlation","Spearman"
"Pietzner et al.","P09486","SPARC","SPARC",NA,"SeqId_3043_49","OID00685",0.619893926763253,485,NA,NA,"Moderate correlation","Spearman","OID21511",0.896622168997218,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P09525","ANXA4","Annexin A4",NA,"SeqId_17164_15","OID01158",0.613630100886253,485,NA,NA,"Moderate correlation","Spearman","OID20123",0.795974076291783,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","O75509","TNFRSF21","Tumor necrosis factor receptor superfamily member 21",NA,"SeqId_5404_53","OID00365",0.611647365598643,485,NA,NA,"Moderate correlation","Spearman","OID21052",0.576190476190476,35,0.000372349224390225,0.000597983320535652,"Moderate correlation","Spearman"
"Pietzner et al.","Q14112","NID2","Nidogen-2",NA,"SeqId_16060_99","OID01443",0.610653134135573,485,NA,NA,"Moderate correlation","Spearman","OID21085",0.459599873199253,88,8.48121052222667e-06,1.53450107044774e-05,"Weak correlation","Spearman"
"Pietzner et al.","P05543","SERPINA7","Thyroxine-binding globulin",NA,"SeqId_2706_69","OID01232",0.609930057885175,485,NA,NA,"Moderate correlation","Spearman","OID30724",0.654714522207742,88,0,0,"Moderate correlation","Spearman"
"Pietzner et al.","Q8NBS9","TXNDC5","Thioredoxin domain-containing protein 5",NA,"SeqId_11212_7","OID01176",0.609607751955435,485,NA,NA,"Moderate correlation","Spearman","OID21012",0.559913352823078,88,2.52728281099109e-08,5.70660458721789e-08,"Moderate correlation","Spearman"
"Pietzner et al.","P51858","HDGF","Hepatoma-derived growth factor",NA,"SeqId_16758_96","OID01169",0.608796347184895,485,NA,NA,"Moderate correlation","Spearman","OID21455",0.413480724718653,67,0.000562916596214544,0.000886377736577712,"Weak correlation","Spearman"
"Pietzner et al.","P51858","HDGF","Hepatoma-derived growth factor",NA,"SeqId_8953_47","OID01169",0.607112019801269,485,NA,NA,"Moderate correlation","Spearman","OID21455",0.413480724718653,67,0.000562916596214544,0.000886377736577712,"Weak correlation","Spearman"
"Pietzner et al.","Q13740","ALCAM","CD166 antigen",NA,"SeqId_5451_1","OID00572",0.60671855915306,485,NA,NA,"Moderate correlation","Spearman","OID20273",0.629495262583213,88,0,0,"Moderate correlation","Spearman"
