"Study","UniProt","Gene.Name","Description","OlinkID_Previous.study","Correlation_Previous.study","N_Previous.study","P.value_Previous.study","Adj.p.value_Previous.study","Cor.interval_Previous.study","Cor.method_Previous.study","OlinkID_Sissala","Correlation_Sissala","N_Sissala","P.value_Sissala","Adj.p.value_Sissala","Cor.interval_Sissala","Cor.method_Sissala"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P16284","PECAM1","Platelet endothelial cell adhesion molecule","OID21131",0.365699905797126,78,NA,NA,"Weak correlation","Spearman","OID21131",0.450987989151492,88,1.29364061265405e-05,2.30365970297543e-05,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P16444","DPEP1","Dipeptidase 1","OID20897",0.422980732190956,78,NA,NA,"Weak correlation","Spearman","OID20897",0.736698344065258,78,1.4962498725721e-14,4.17102742255284e-14,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P16562","CRISP2","Cysteine-rich secretory protein 2","OID21456",0.841169937060348,78,NA,NA,"Strong correlation","Spearman","OID21456",0.904009034443817,22,3.66016201329011e-06,6.91023898495741e-06,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P16581","SELE","E-selectin","OID20290",0.750603826553193,78,NA,NA,"Strong correlation","Spearman","OID20290",0.895565496107922,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P16671","CD36","Platelet glycoprotein 4","OID30485",0.228063076164342,78,NA,NA,"No correlation","Spearman","OID30485",0.326987425592617,88,0.00196886146631643,0.00296774979368658,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P16870","CPE","Carboxypeptidase E","OID21392",0.547364028376686,78,NA,NA,"Moderate correlation","Spearman","OID21392",-0.192307692307692,13,0.529184736920623,0.580148845263649,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P16871","IL7R","Interleukin-7 receptor subunit alpha","OID21136",0.423791398474943,78,NA,NA,"Weak correlation","Spearman","OID21136",0.730914476119955,74,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P17050","NAGA","Alpha-N-acetylgalactosaminidase","OID30509",0.49066123749668,78,NA,NA,"Weak correlation","Spearman","OID30509",0.227894983591186,80,0.0422490586109683,0.0556583280884284,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P17174","GOT1","Aspartate aminotransferase, cytoplasmic","OID30417",0.470124811896964,78,NA,NA,"Weak correlation","Spearman","OID30417",0.704924095664119,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P17181","IFNAR1","Interferon alpha/beta receptor 1","OID31491",0.0988764329135769,78,NA,NA,"No correlation","Spearman","OID31491",0.468045112781955,57,0.000282879931659307,0.000460189398909737,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P17301","ITGA2","Integrin alpha-2","OID30570",0.425890565131071,78,NA,NA,"Weak correlation","Spearman","OID30570",0.694744813497235,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P17405","SMPD1","Sphingomyelin phosphodiesterase","OID21028",0.744028123774959,78,NA,NA,"Strong correlation","Spearman","OID21028",0.701425640420632,88,2.72085152746189e-14,7.52902297672666e-14,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P17813","ENG","Endoglin","OID20287",0.543393315545214,78,NA,NA,"Moderate correlation","Spearman","OID20287",0.361012292627946,88,0.00059465242587403,0.000932448040016361,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P17900","GM2A","Ganglioside GM2 activator","OID30413",0.514956657003029,78,NA,NA,"Moderate correlation","Spearman","OID30413",0.620108485083301,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P17927","CR1","Complement receptor type 1","OID30697",0.732748264393834,78,NA,NA,"Strong correlation","Spearman","OID30697",0.644502855237021,88,1.23865924073187e-11,3.32963400663401e-11,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P17931","LGALS3","Galectin-3","OID20284",0.342921550696851,78,NA,NA,"Weak correlation","Spearman","OID20284",0.391285970906273,88,0.000183552520776192,0.000303412585587586,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P17936","IGFBP3","Insulin-like growth factor-binding protein 3","OID20398",0.580040212951605,78,NA,NA,"Moderate correlation","Spearman","OID20398",0.715332323623684,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P17980","PSMC3","26S proteasome regulatory subunit 6A","OID31200",0.109422223346274,78,NA,NA,"No correlation","Spearman","OID31200",0.181479374110953,75,0.119058869451324,0.148200070132905,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P18065","IGFBP2","Insulin-like growth factor-binding protein 2","OID20325",0.95217440787061,78,NA,NA,"Strong correlation","Spearman","OID20325",0.882709309288155,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P18084","ITGB5","Integrin beta-5","OID21522",0.265963886859409,78,NA,NA,"No correlation","Spearman","OID21522",0.255003819709702,34,0.14523948180822,0.17862241281207,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P18428","LBP","Lipopolysaccharide-binding protein","OID20355",0.436148890035717,78,NA,NA,"Weak correlation","Spearman","OID20355",0.772445493290127,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P18510","IL1RN","Interleukin-1 receptor antagonist protein","OID20700",0.550200949945196,78,NA,NA,"Moderate correlation","Spearman","OID20700",-0.238095238095238,8,0.582142857142857,0.62833583720295,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P18827","SDC1","Syndecan-1","OID20169",0.369767987960688,78,NA,NA,"Weak correlation","Spearman","OID20169",0.708111725546828,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P19021","PAM","Peptidyl-glycine alpha-amidating monooxygenase","OID20291",0.43000309819584,78,NA,NA,"Weak correlation","Spearman","OID20291",0.20372653305625,88,0.0570693533829733,0.0735517122938091,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P19022","CDH2","Cadherin-2","OID20170",0.440043754000083,78,NA,NA,"Weak correlation","Spearman","OID20170",0.652724454932901,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P19256","CD58","Lymphocyte function-associated antigen 3","OID20716",0.209549943727159,78,NA,NA,"No correlation","Spearman","OID20716",0.522383854038252,88,2.78475573518969e-07,5.70596955540682e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P19320","VCAM1","Vascular cell adhesion protein 1","OID20396",0.460362422387739,78,NA,NA,"Weak correlation","Spearman","OID20396",0.817583036877884,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P19438","TNFRSF1A","Tumor necrosis factor receptor superfamily member 1A","OID21155",0.473210333969828,78,NA,NA,"Weak correlation","Spearman","OID21155",0.287381275440977,66,0.019608659727079,0.026608385615231,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P19440","GGT1","Glutathione hydrolase 1 proenzyme","OID21075",0.710643786593154,78,NA,NA,"Strong correlation","Spearman","OID21075",0.808249093022437,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P19827","ITIH1","Inter-alpha-trypsin inhibitor heavy chain H1","OID30722",-0.0304884988429292,78,NA,NA,"No correlation","Spearman","OID30722",0.259132555797287,88,0.0147720548946004,0.0202891118929487,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P19971","TYMP","Thymidine phosphorylase","OID20234",0.610136698744294,78,NA,NA,"Moderate correlation","Spearman","OID20234",0.774506005424254,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P20023","CR2","Complement receptor type 2","OID20393",0.903785479004137,78,NA,NA,"Strong correlation","Spearman","OID20393",0.919058856679934,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P20061","TCN1","Transcobalamin-1","OID30687",0.428799049052214,78,NA,NA,"Weak correlation","Spearman","OID30687",0.362750191537712,88,0.000514016382153785,0.0008139193484595,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P20062","TCN2","Transcobalamin-2","OID20341",0.598300433743472,78,NA,NA,"Moderate correlation","Spearman","OID20341",0.52897044838153,88,1.87282674332654e-07,3.89396205012092e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P20138","CD33","Myeloid cell surface antigen CD33","OID21472",0.709328646037507,78,NA,NA,"Strong correlation","Spearman","OID21472",0.638159309045385,78,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P20333","TNFRSF1B","Tumor necrosis factor receptor superfamily member 1B","OID21145",0.342078973657921,78,NA,NA,"Weak correlation","Spearman","OID21145",0.916666666666667,9,0.00131172839506173,0.00201488620139414,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P20340","RAB6A","Ras-related protein Rab-6A","OID20608",0.352206984206285,78,NA,NA,"Weak correlation","Spearman","OID20608",0.331121806738245,74,0.00412276959649938,0.00599048503789935,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P20700","LMNB1","Lamin-B1","OID31501",-0.0566395629686769,78,NA,NA,"No correlation","Spearman","OID31501",0.362402669632925,30,0.0497809348812769,0.0648243085132199,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P20701","ITGAL","Integrin alpha-L","OID30537",0.0311460691207527,78,NA,NA,"No correlation","Spearman","OID30537",0.139104035542392,74,0.236645764364688,0.278886292241892,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P20742","PZP","Pregnancy zone protein","OID30730",0.940793383831358,78,NA,NA,"Strong correlation","Spearman","OID30730",0.964196400267691,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P20774","OGN","Mimecan","OID21123",0.535224269401484,78,NA,NA,"Moderate correlation","Spearman","OID21123",0.62824486633088,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P20827","EFNA1","Ephrin-A1","OID21125",0.70158134007485,78,NA,NA,"Strong correlation","Spearman","OID21125",0.631056633519525,88,4.38154885073701e-11,1.1584938296211e-10,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P20851","C4BPB","C4b-binding protein beta chain","OID21481",0.507100494442266,78,NA,NA,"Moderate correlation","Spearman","OID21481",0.409566411891092,88,8.55637235863773e-05,0.000145047213106637,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P20908","COL5A1","Collagen alpha-1(V) chain","OID30587",0.238813331061888,78,NA,NA,"No correlation","Spearman","OID30587",0.241308865485541,88,0.0237424212907568,0.0320636287527087,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P20936","RASA1","Ras GTPase-activating protein 1","OID20826",-0.109784951890215,78,NA,NA,"No correlation","Spearman","OID20826",0.0842245989304813,33,0.640059972285659,0.683012957193298,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P21583","KITLG","Kit ligand","OID20196",0,78,NA,NA,"No correlation","Spearman","OID20196",0.814671967673563,88,4.67483729864139e-22,1.42261221298278e-21,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P21589","NT5E","5'-nucleotidase","OID21498",0.418530836252355,78,NA,NA,"Weak correlation","Spearman","OID21498",0.777361585782638,76,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P21695","GPD1","Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic","OID31358",0.520251899998735,78,NA,NA,"Moderate correlation","Spearman","OID31358",0.573139375154098,88,9.55750783021354e-09,2.20212782455328e-08,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P21709","EPHA1","Ephrin type-A receptor 1","OID20677",0.819294629421211,78,NA,NA,"Strong correlation","Spearman","OID20677",0.679123665950477,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P21802","FGFR2","Fibroblast growth factor receptor 2","OID21478",0.19278312057392,78,NA,NA,"No correlation","Spearman","OID21478",0.0873764171470015,68,0.477719432692727,0.528251948589705,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P21860","ERBB3","Receptor tyrosine-protein kinase erbB-3","OID20705",0.397918537159043,78,NA,NA,"Weak correlation","Spearman","OID20705",0.381654135338346,76,0.00072956799293687,0.00113768268511841,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P21980","TGM2","Protein-glutamine gamma-glutamyltransferase 2","OID20141",0.0488671274961597,78,NA,NA,"No correlation","Spearman","OID20141",0.743075871496924,76,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P22105","TNXB","Tenascin-X","OID21107",0.631355985786365,78,NA,NA,"Moderate correlation","Spearman","OID21107",0.630551935472509,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P22223","CDH3","Cadherin-3","OID21008",0.662742320970169,78,NA,NA,"Moderate correlation","Spearman","OID21008",0.426215644820296,44,0.00421297960465281,0.00611369405353859,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P22303","ACHE","Acetylcholinesterase","OID30585",0.454899530848898,78,NA,NA,"Weak correlation","Spearman","OID30585",0.427755376344086,63,0.000529243659299394,0.000835686841047575,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P22304","IDS","Iduronate 2-sulfatase","OID20619",0.568742254528391,78,NA,NA,"Moderate correlation","Spearman","OID20619",0.30554846209897,88,0.00379295169099833,0.00554694619059211,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P22455","FGFR4","Fibroblast growth factor receptor 4","OID30646",0.88011988011988,78,NA,NA,"Strong correlation","Spearman","OID30646",0.860642457116692,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P22692","IGFBP4","Insulin-like growth factor-binding protein 4","OID21158",0.148497072547705,78,NA,NA,"No correlation","Spearman","OID21158",0.718343841358177,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P22748","CA4","Carbonic anhydrase 4","OID20241",0.287750224459085,78,NA,NA,"No correlation","Spearman","OID20241",0.210495555077056,58,0.112644185161313,0.140525176847649,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P22894","MMP8","Neutrophil collagenase","OID21019",0.298017378289723,78,NA,NA,"No correlation","Spearman","OID21019",0.709661411612017,68,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P22897","MRC1","Macrophage mannose receptor 1","OID30694",0.671670102049849,78,NA,NA,"Moderate correlation","Spearman","OID30694",0.808143425733507,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P23141","CES1","Liver carboxylesterase 1","OID20244",0.845395111217896,78,NA,NA,"Strong correlation","Spearman","OID20244",0.909901024972703,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P23229","ITGA6","Integrin alpha-6","OID20528",0.0560072838553851,78,NA,NA,"No correlation","Spearman","OID20528",0.366912049593181,88,0.000476887402584969,0.000758318137349901,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P23284","PPIB","Peptidyl-prolyl cis-trans isomerase B","OID20331",0.585680142642168,78,NA,NA,"Moderate correlation","Spearman","OID20331",0.768553414814554,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P23381","WARS1","Tryptophan--tRNA ligase, cytoplasmic","OID21084",0.517191669090403,78,NA,NA,"Moderate correlation","Spearman","OID21084",0.80828431545208,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P23435","CBLN1","Cerebellin-1","OID30851",-0.109118729371894,78,NA,NA,"No correlation","Spearman","OID30851",0.062095520177712,74,0.598435790486797,0.644688938415643,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P23471","PTPRZ1","Receptor-type tyrosine-protein phosphatase zeta","OID30343",0.600905423690234,78,NA,NA,"Moderate correlation","Spearman","OID30343",0.792434222112641,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P23526","AHCY","Adenosylhomocysteinase","OID20199",0.53757634770293,78,NA,NA,"Moderate correlation","Spearman","OID20199",0.297559085625727,88,0.00502247027233738,0.00723261344064912,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P23588","EIF4B","Eukaryotic translation initiation factor 4B","OID21000",0.74071498122131,78,NA,NA,"Strong correlation","Spearman","OID21000",0.604894327030033,30,0.000516219473465328,0.000816263004961282,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P23919","DTYMK","Thymidylate kinase","OID30308",0.427703875072296,78,NA,NA,"Weak correlation","Spearman","OID30308",0.4,9,0.291192680776014,0.335808515419939,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P24387","CRHBP","Corticotropin-releasing factor-binding protein","OID20747",0.580865848503932,78,NA,NA,"Moderate correlation","Spearman","OID20747",0.697363149258059,88,4.4142165641547e-14,1.21256703185661e-13,"Moderate correlation","Spearman"
